Protein.Ids	Genes	Fold enrichment	C..Lysosome	C..Mitochondria	Endosome	Golgi	ER	Ribosome	Nuclear	Difference_IP_vs_MockIP	Difference_IP_vs_WCL
P62258	YWHAE	2.45	+	-	-	-	-	-	-	0.523	1.234
Q15149	PLEC	3.12	+	-	-	-	-	-	-	0.892	1.456
P35579	MYH9	4.23	-	+	-	-	-	-	-	1.234	2.134
Q02543	RPL18A	3.89	-	+	-	-	-	-	-	1.045	1.823
P27348	YWHAQ	2.67	-	-	+	-	-	-	-	0.734	1.123
P62937	PPIA	2.34	-	-	+	-	-	-	-	0.623	0.982
P11021	HSPA5	5.12	-	-	-	-	+	-	-	1.845	2.567
P07237	P4HB	4.78	-	-	-	-	+	-	-	1.623	2.234
P02511	CRYAB	3.45	-	-	-	-	+	-	-	1.234	1.678
P08107	HSPA1A	2.89	-	-	-	+	-	-	-	0.912	1.345
P27797	CALR	3.23	-	-	-	+	-	-	-	1.023	1.534
P54709	ATP6V1B2	2.56	-	-	-	+	-	-	-	0.745	1.123
P40926	MDH2	4.56	-	-	-	-	-	-	+	1.534	2.123
P12004	PCNA	3.78	-	-	-	-	-	-	+	1.234	1.823
P62979	RPS27A	3.12	-	-	-	-	-	-	+	0.923	1.456
P62805	H4C1	4.23	-	-	-	-	-	-	+	1.345	1.987
P62269	RPS18	5.67	-	-	-	-	-	+	-	2.134	2.867
P62241	RPS8	5.23	-	-	-	-	-	+	-	1.987	2.645
P62263	RPS14	4.89	-	-	-	-	-	+	-	1.756	2.423
P62753	RPS6	5.34	-	-	-	-	-	+	-	2.045	2.734
P46777	RPL5	4.67	-	-	-	-	-	+	-	1.645	2.234
Q07020	RPL18	4.45	-	-	-	-	-	+	-	1.523	2.123
P62899	RPL31	2.78	+	-	-	-	-	-	-	0.645	1.234
P35908	KRT2	2.23	+	-	-	-	-	-	-	0.534	0.923
P13639	EEF2	3.67	-	+	-	-	-	-	-	1.123	1.734
P05141	SLC25A5	4.12	-	+	-	-	-	-	-	1.345	1.923
P60709	ACTB	2.12	-	-	+	-	-	-	-	0.523	0.834
P63261	ACTG1	2.45	-	-	+	-	-	-	-	0.612	0.945
P14625	HSP90B1	4.23	-	-	-	-	+	-	-	1.456	2.123
P11142	HSPA8	3.89	-	-	-	-	+	-	-	1.234	1.823
P08238	HSP90AB1	3.12	-	-	-	+	-	-	-	0.923	1.456
P10809	HSPD1	3.45	-	-	-	+	-	-	-	1.034	1.623
P04406	GAPDH	2.34	-	-	-	-	-	-	+	0.634	1.023
P62826	RAN	3.56	-	-	-	-	-	-	+	1.123	1.734
P46781	RPS9	5.12	-	-	-	-	-	+	-	1.923	2.567
P62280	RPS11	4.89	-	-	-	-	-	+	-	1.834	2.456
P62857	RPS28	5.45	-	-	-	-	-	+	-	2.123	2.823
P15880	RPS2	5.23	-	-	-	-	-	+	-	2.034	2.712
P62913	RPL11	4.78	-	-	-	-	-	+	-	1.756	2.345
Q9Y3D9	RPL37	4.56	-	-	-	-	-	+	-	1.645	2.234
